"measureKey";"measureName";"systemName";"entityName";"entityType";"entityId";"value"
"ratioOfEndpointsSupportingSsl";"Ratio of endpoints that support SSL";"teastore-private-nlb-withfailures-highreplication-model";"teastore-private-nlb-withfailures-highreplication-model";"system";"4";"0"
"ratioOfExternalEndpointsSupportingTls";"Ratio of external endpoints that support TLS";"teastore-private-nlb-withfailures-highreplication-model";"teastore-private-nlb-withfailures-highreplication-model";"system";"4";"0"
"ratioOfSecuredLinks";"Ratio of secured links";"teastore-private-nlb-withfailures-highreplication-model";"teastore-private-nlb-withfailures-highreplication-model";"system";"4";"0"
"secretsExternalization";"Secrets Externalization";"teastore-private-nlb-withfailures-highreplication-model";"teastore-private-nlb-withfailures-highreplication-model";"system";"4";"n/a"
"secretsStoredInVault";"Secrets stored in vault";"teastore-private-nlb-withfailures-highreplication-model";"teastore-private-nlb-withfailures-highreplication-model";"system";"4";"n/a"
"accessRestrictedToCallers";"Access restricted to callers";"teastore-private-nlb-withfailures-highreplication-model";"teastore-private-nlb-withfailures-highreplication-model";"system";"4";"0"
"ratioOfEndpointsThatSupportTokenBasedAuthentication";"Ratio of endpoints that support token-based authentication ";"teastore-private-nlb-withfailures-highreplication-model";"teastore-private-nlb-withfailures-highreplication-model";"system";"4";"0"
"ratioOfEndpointsThatSupportApiKeys";"Ratio of endpoints that support API Keys";"teastore-private-nlb-withfailures-highreplication-model";"teastore-private-nlb-withfailures-highreplication-model";"system";"4";"0"
"ratioOfEndpointsThatSupportPlaintextAuthentication";"Ratio of endpoints that support plaintext authentication";"teastore-private-nlb-withfailures-highreplication-model";"teastore-private-nlb-withfailures-highreplication-model";"system";"4";"0"
"ratioOfEndpointsThatAreIncludedInASingleSignOnApproach";"Ratio of endpoints that are included in an single-sign-on approach";"teastore-private-nlb-withfailures-highreplication-model";"teastore-private-nlb-withfailures-highreplication-model";"system";"4";"0"
"iendpointAccessMethodsConsistency";"Consistency of supported authentication methods of endpoints";"teastore-private-nlb-withfailures-highreplication-model";"teastore-private-nlb-withfailures-highreplication-model";"system";"4";"n/a"
"externalEndpointAccessConsistency";"Consistency of supported authentication methods of external endpoints";"teastore-private-nlb-withfailures-highreplication-model";"teastore-private-nlb-withfailures-highreplication-model";"system";"4";"n/a"
"ratioOfUniqueAccountUsage";"Ratio of unique account usage";"teastore-private-nlb-withfailures-highreplication-model";"teastore-private-nlb-withfailures-highreplication-model";"system";"4";"0.09090909090909091"
"ratioOfDelegatedAuthentication";"Ratio of delegated authentication";"teastore-private-nlb-withfailures-highreplication-model";"teastore-private-nlb-withfailures-highreplication-model";"system";"4";"0"
"dataAggregateScope";"Data aggregate scope";"teastore-private-nlb-withfailures-highreplication-model";"teastore-private-nlb-withfailures-highreplication-model";"system";"4";"5"
"cohesionBetweenEndpointsBasedOnDataAggregateUsage";"Cohesion between Endpoints based on data aggregate usage";"teastore-private-nlb-withfailures-highreplication-model";"teastore-private-nlb-withfailures-highreplication-model";"system";"4";"0.17858579329167562"
"serviceInterfaceUsageCohesion";"Service Interface Usage Cohesion";"teastore-private-nlb-withfailures-highreplication-model";"teastore-private-nlb-withfailures-highreplication-model";"system";"4";"0.5479166666666666"
"readWriteSeparationForDataAggregates";"Read Write Separation for Data Aggregates";"teastore-private-nlb-withfailures-highreplication-model";"teastore-private-nlb-withfailures-highreplication-model";"system";"4";"0.5"
"externallyAvailableEndpoints";"Externally available endpoints";"teastore-private-nlb-withfailures-highreplication-model";"teastore-private-nlb-withfailures-highreplication-model";"system";"4";"16"
"ratioOfRequestTracesThroughGateway";"Ratio of request traces through a gateway";"teastore-private-nlb-withfailures-highreplication-model";"teastore-private-nlb-withfailures-highreplication-model";"system";"4";"0"
"degreeOfSeparationByGateways";"Degree of separation by gateways";"teastore-private-nlb-withfailures-highreplication-model";"teastore-private-nlb-withfailures-highreplication-model";"system";"4";"n/a"
"ratioOfStateDependencyOfEndpoints";"Ratio of state dependency of endpoints";"teastore-private-nlb-withfailures-highreplication-model";"teastore-private-nlb-withfailures-highreplication-model";"system";"4";"0.660377358490566"
"ratioOfStatefulComponents";"Ratio of stateful components";"teastore-private-nlb-withfailures-highreplication-model";"teastore-private-nlb-withfailures-highreplication-model";"system";"4";"0.25"
"ratioOfStatelessComponents";"Ratio of stateless components";"teastore-private-nlb-withfailures-highreplication-model";"teastore-private-nlb-withfailures-highreplication-model";"system";"4";"0.75"
"degreeToWhichComponentsAreLinkedToStatefulComponents";"Degree to which components are linked to stateful components";"teastore-private-nlb-withfailures-highreplication-model";"teastore-private-nlb-withfailures-highreplication-model";"system";"4";"0.44000000000000006"
"ratioOfSpecializedStatefulServices";"Ratio of specialized stateful services";"teastore-private-nlb-withfailures-highreplication-model";"teastore-private-nlb-withfailures-highreplication-model";"system";"4";"1"
"suitablyReplicatedStatefulService";"Ratio of suitably replicated stateful services";"teastore-private-nlb-withfailures-highreplication-model";"teastore-private-nlb-withfailures-highreplication-model";"system";"4";"n/a"
"degreeOfAsynchronousCommunication";"Degree of asynchronous communication";"teastore-private-nlb-withfailures-highreplication-model";"teastore-private-nlb-withfailures-highreplication-model";"system";"4";"0"
"asynchronousCommunicationUtilization";"Asynchronous Communication Utilization";"teastore-private-nlb-withfailures-highreplication-model";"teastore-private-nlb-withfailures-highreplication-model";"system";"4";"0"
"numberOfSynchronousEndpoints";"Number of synchronous endpoints";"teastore-private-nlb-withfailures-highreplication-model";"teastore-private-nlb-withfailures-highreplication-model";"system";"4";"53"
"numberOfAsynchronousEndpoints";"Number of asynchronous endpoints";"teastore-private-nlb-withfailures-highreplication-model";"teastore-private-nlb-withfailures-highreplication-model";"system";"4";"0"
"eventSourcingUtilizationMetric";"Event Sourcing utilization metric";"teastore-private-nlb-withfailures-highreplication-model";"teastore-private-nlb-withfailures-highreplication-model";"system";"4";"0"
"serviceInteractionViaBackingService";"Service Interaction via Backing Service";"teastore-private-nlb-withfailures-highreplication-model";"teastore-private-nlb-withfailures-highreplication-model";"system";"4";"0"
"ratioOfNonCustomBackingServices";"Ratio of non-custom backing services";"teastore-private-nlb-withfailures-highreplication-model";"teastore-private-nlb-withfailures-highreplication-model";"system";"4";"0.3333333333333333"
"ratioOfStandardizedArtifacts";"Ratio of standardized artifacts";"teastore-private-nlb-withfailures-highreplication-model";"teastore-private-nlb-withfailures-highreplication-model";"system";"4";"0"
"ratioOfEntitiesProvidingStandardizedArtifacts";"Ratio of entities providing standardized artifacts";"teastore-private-nlb-withfailures-highreplication-model";"teastore-private-nlb-withfailures-highreplication-model";"system";"4";"0"
"componentArtifactsSimilarity";"Component Artifacts Similarity";"teastore-private-nlb-withfailures-highreplication-model";"teastore-private-nlb-withfailures-highreplication-model";"system";"4";"0.75"
"infrastructureArtifactsSimilarity";"Infrastructure Artifacts Similarity";"teastore-private-nlb-withfailures-highreplication-model";"teastore-private-nlb-withfailures-highreplication-model";"system";"4";"0"
"ratioOfComponentsOrInfrastructureNodesThatExportLogsToACentralService";"Ratio of Components or Infrastructure nodes that export logs to a central service";"teastore-private-nlb-withfailures-highreplication-model";"teastore-private-nlb-withfailures-highreplication-model";"system";"4";"0"
"ratioOfComponentsOrInfrastructureNodesThatExportMetrics";"Ratio of Components or Infrastructure nodes that export metrics";"teastore-private-nlb-withfailures-highreplication-model";"teastore-private-nlb-withfailures-highreplication-model";"system";"4";"0"
"distributedTracingSupport";"Distributed Tracing Support";"teastore-private-nlb-withfailures-highreplication-model";"teastore-private-nlb-withfailures-highreplication-model";"system";"4";"n/a"
"ratioOfServicesThatProvideHealthEndpoints";"Ratio of Services that provide Health endpoints";"teastore-private-nlb-withfailures-highreplication-model";"teastore-private-nlb-withfailures-highreplication-model";"system";"4";"0"
"ratioOfServicesThatProvideReadinessEndpoints";"Ratio of Services that provide Readiness endpoints";"teastore-private-nlb-withfailures-highreplication-model";"teastore-private-nlb-withfailures-highreplication-model";"system";"4";"0"
"ratioOfAutomaticallyProvisionedInfrastructure";"Ratio of automatically provisioned infrastructure";"teastore-private-nlb-withfailures-highreplication-model";"teastore-private-nlb-withfailures-highreplication-model";"system";"4";"1"
"ratioOfInfrastructureWithIaCArtifact";"Ratio of infrastructure with IaC artifact";"teastore-private-nlb-withfailures-highreplication-model";"teastore-private-nlb-withfailures-highreplication-model";"system";"4";"0"
"ratioOfDeploymentsOnDynamicInfrastructure";"Ratio of components deployed dynamically";"teastore-private-nlb-withfailures-highreplication-model";"teastore-private-nlb-withfailures-highreplication-model";"system";"4";"1"
